Name,Current Price,Change,Disclosure Date,Designation,Code
MIRAEJ345KOSPI200- P,-,-,5/12/2023,5/15/2023,52J345
MIRAEJ346KOSPI200- P,-,-,5/12/2023,5/15/2023,52J346
NOUSBO,"2,755",40,5/12/2023,5/15/2023,332290
SJMH,"4,870",20,5/12/2023,5/15/2023,25530
ShindaeyangPapr,"5,350",100,5/12/2023,5/15/2023,16590
UNIONMaterials,"4,400",130,5/12/2023,5/15/2023,47400
WELLBIOTEC,"2,050",87,5/12/2023,5/15/2023,10600
Crystal New Material,"4,085",130,5/11/2023,5/12/2023,900250
KBHN73KOSPI200- C,-,-,5/11/2023,5/12/2023,58HN73
KISHS76KOSPI200- P,-,-,5/11/2023,5/12/2023,57HS76
KISHS82KOSPI200- P,-,-,5/11/2023,5/12/2023,57HS82
MIRAEJ343KOSPI200- P,-,-,5/11/2023,5/12/2023,52J343
MIRAEJ345KOSPI200- P,-,-,5/11/2023,5/12/2023,52J345
Micro Digital,"8,520",20,5/11/2023,5/12/2023,305090
Pintel,"7,680",30,5/11/2023,5/12/2023,291810
RAPHAS,"20,300",400,5/11/2023,5/12/2023,214260
RAPHAS,"20,300",400,5/11/2023,5/12/2023,214260
SEJONG MEDICAL,"2,490",60,5/11/2023,5/12/2023,258830
BioInfra Life Science,550,0,5/10/2023,5/11/2023,266470
Cosnine,924,4,5/10/2023,5/11/2023,82660
Daol SEC,"3,475",65,5/10/2023,5/11/2023,30210
Exergy21,"1,450",45,5/10/2023,5/11/2023,43090
InnoTherapy,"8,050",70,5/10/2023,5/11/2023,246960
MIRAEJ307KOSPI200- P,-,-,5/10/2023,5/11/2023,52J307
Micro Digital,"8,520",20,5/10/2023,5/11/2023,305090
Micro Digital,"8,520",20,5/10/2023,5/11/2023,305090
NANOBRICK,"2,710",60,5/10/2023,5/11/2023,286750
SUNGHO,"1,667",7,5/10/2023,5/11/2023,43260
B2En,"2,330",20,5/9/2023,5/10/2023,307870
BioInfra Life Science,550,0,5/9/2023,5/10/2023,266470
CRONEX,"2,295",85,5/9/2023,5/10/2023,215570
Cosnine,924,4,5/9/2023,5/10/2023,82660
Daol SEC,"3,475",65,5/9/2023,5/10/2023,30210
DuckYangInd,"8,630",80,5/9/2023,5/10/2023,24900
E.T.I,899,0,5/9/2023,5/10/2023,24810
FLITTO,"31,750",400,5/9/2023,5/10/2023,300080
MIRAEHP28SKT- C,-,-,5/9/2023,5/10/2023,52HP28
MIRAEJ318KOSPI200- C,-,-,5/9/2023,5/10/2023,52J318
NARASOFT,57,1,5/9/2023,5/10/2023,288490
RAONTECH,"10,950",350,5/9/2023,5/10/2023,418420
TS,"3,830",110,5/9/2023,5/10/2023,1790
TS(1P),"3,210",45,5/9/2023,5/10/2023,1795
W.I.H.C,"4,550",130,5/9/2023,5/10/2023,72470
AnyGen,"14,940",50,5/8/2023,5/9/2023,196300
DuckYangInd,"8,630",80,5/8/2023,5/9/2023,24900
E.T.I,899,0,5/8/2023,5/9/2023,24810
KBJ083KOSPI200- C,-,-,5/8/2023,5/9/2023,58J083
KBJP77KOSPI200- C,-,-,5/8/2023,5/9/2023,58JP77
KBJP78KOSPI200- C,-,-,5/8/2023,5/9/2023,58JP78
KISHP40KOSPI200- C,-,-,5/8/2023,5/9/2023,57HP40
KISHW01NAVER- C,20,0,5/8/2023,5/9/2023,57HW01
RIFA,"22,650",150,5/8/2023,5/9/2023,760
VitzroSys,682,2,5/8/2023,5/9/2023,54220
AnyGen,"14,940",50,5/4/2023,5/8/2023,196300
E.T.I,899,0,5/4/2023,5/8/2023,24810
EcoBio Holdings,"6,310",40,5/4/2023,5/8/2023,38870
GNCENERGY,"4,960",65,5/4/2023,5/8/2023,119850
GNCENERGY,"4,960",65,5/4/2023,5/8/2023,119850
KBJ083KOSPI200- C,-,-,5/4/2023,5/8/2023,58J083
KBJP89KOSPI200- P,-,-,5/4/2023,5/8/2023,58JP89
KBJP90KOSPI200- P,-,-,5/4/2023,5/8/2023,58JP90
KISHP40KOSPI200- C,-,-,5/4/2023,5/8/2023,57HP40
KISHP49KOSPI200- P,-,-,5/4/2023,5/8/2023,57HP49
KISHP51KOSPI200- P,-,-,5/4/2023,5/8/2023,57HP51
LiComm,"3,940",15,5/4/2023,5/8/2023,388790
MIRAEJ304KOSPI200- P,-,-,5/4/2023,5/8/2023,52J304
NSN,844,54,5/4/2023,5/8/2023,31860
SM BEXEL,"2,460",5,5/4/2023,5/8/2023,10580
SungmoonElec,"2,180",10,5/4/2023,5/8/2023,14910
TSB,"4,565",90,5/4/2023,5/8/2023,45340
Zaigle,"18,140",140,5/4/2023,5/8/2023,234920
homecast,"7,190",20,5/4/2023,5/8/2023,64240
AnyGen,"14,940",50,5/3/2023,5/4/2023,196300
BIONEER,"52,500",900,5/3/2023,5/4/2023,64550
CQV,"7,420",210,5/3/2023,5/4/2023,101240
ChinYangPoly,"5,490",10,5/3/2023,5/4/2023,10640
GENEMATRIX,"3,860",30,5/3/2023,5/4/2023,109820
HANILCHEMIC,"22,300",350,5/3/2023,5/4/2023,7770
KBJ083KOSPI200- C,-,-,5/3/2023,5/4/2023,58J083
KBJP88KOSPI200- P,-,-,5/3/2023,5/4/2023,58JP88
KBJP89KOSPI200- P,-,-,5/3/2023,5/4/2023,58JP89
KBJP91KOSPI200- P,-,-,5/3/2023,5/4/2023,58JP91
KISHP40KOSPI200- C,-,-,5/3/2023,5/4/2023,57HP40
KISHP50KOSPI200- P,-,-,5/3/2023,5/4/2023,57HP50
KISHP51KOSPI200- P,-,-,5/3/2023,5/4/2023,57HP51
KISHP64KOSPI200- C,-,-,5/3/2023,5/4/2023,57HP64
KISHP66KOSPI200- C,-,-,5/3/2023,5/4/2023,57HP66
KISJ505KOSPI200- P,-,-,5/3/2023,5/4/2023,57J505
Korea No.10 SPAC,"3,040",0,5/3/2023,5/4/2023,409570
MILAE BIORESOURCES,"7,740",110,5/3/2023,5/4/2023,218150
MIRAEHW94SEC- C,-,-,5/3/2023,5/4/2023,52HW94
Micro Digital,"8,520",20,5/3/2023,5/4/2023,305090
NARASOFT,57,1,5/3/2023,5/4/2023,288490
NARASOFT,57,1,5/3/2023,5/4/2023,288490
SamwhaElec,"23,350",400,5/3/2023,5/4/2023,9470
SamwhaElec,"23,350",400,5/3/2023,5/4/2023,9470
Sangshin Electronics,"6,140",0,5/3/2023,5/4/2023,263810
Setopia,"3,555",10,5/3/2023,5/4/2023,222810
Suprema ID,"82,800","6,600",5/3/2023,5/4/2023,317770
T-ROBOTICS,"15,780",690,5/3/2023,5/4/2023,117730
AnyGen,"14,940",50,5/2/2023,5/3/2023,196300
CLASSYS,"31,700",900,5/2/2023,5/3/2023,214150
DuckYangInd,"8,630",80,5/2/2023,5/3/2023,24900
EG,"20,250",300,5/2/2023,5/3/2023,37370
EID,"1,392",0,5/2/2023,5/3/2023,93230
Huvitz,"21,000",350,5/2/2023,5/3/2023,65510
KBJP88KOSPI200- P,-,-,5/2/2023,5/3/2023,58JP88
KBJP91KOSPI200- P,-,-,5/2/2023,5/3/2023,58JP91
KISHP52KOSPI200- P,-,-,5/2/2023,5/3/2023,57HP52
KISHP64KOSPI200- C,-,-,5/2/2023,5/3/2023,57HP64
KISHP66KOSPI200- C,-,-,5/2/2023,5/3/2023,57HP66
KISHS74KOSPI200- C,-,-,5/2/2023,5/3/2023,57HS74
KISJ505KOSPI200- P,-,-,5/2/2023,5/3/2023,57J505
Korea No.10 SPAC,"3,040",0,5/2/2023,5/3/2023,409570
MIRAEJ148KOSPI200- C,-,-,5/2/2023,5/3/2023,52J148
MIRAEJ149KOSPI200- C,-,-,5/2/2023,5/3/2023,52J149
MIRAEJ293KOSPI200- C,-,-,5/2/2023,5/3/2023,52J293
MIRAEJ333KOSPI200- P,-,-,5/2/2023,5/3/2023,52J333
MiCo Bio,"4,690",110,5/2/2023,5/3/2023,214610
Micro Digital,"8,520",20,5/2/2023,5/3/2023,305090
POSCO M-TECH,"26,600",400,5/2/2023,5/3/2023,9520
TERA SCIENCE,"5,870",100,5/2/2023,5/3/2023,73640
DGP,"6,970",340,4/28/2023,5/2/2023,60900
DuckYangInd,"8,630",80,4/28/2023,5/2/2023,24900
KBJ091KOSPI200- P,-,-,4/28/2023,5/2/2023,58J091
KBJP86KOSPI200- P,-,-,4/28/2023,5/2/2023,58JP86
KBJP87KOSPI200- P,-,-,4/28/2023,5/2/2023,58JP87
KBJP88KOSPI200- P,-,-,4/28/2023,5/2/2023,58JP88
KBJP89KOSPI200- P,-,-,4/28/2023,5/2/2023,58JP89
KBJP91KOSPI200- P,-,-,4/28/2023,5/2/2023,58JP91
KD,829,11,4/28/2023,5/2/2023,44180
KISHP52KOSPI200- P,-,-,4/28/2023,5/2/2023,57HP52
KISHS51KOSPI200- C,-,-,4/28/2023,5/2/2023,57HS51
Korea No.10 SPAC,"3,040",0,4/28/2023,5/2/2023,409570
MIRAEJ005SEC- C,-,-,4/28/2023,5/2/2023,52J005
MIRAEJ029HD MOTOR- C,-,-,4/28/2023,5/2/2023,52J029
