Issue Name,Code,Date,Suspension Time Start,Suspension Time End,Trading Restart Time,Reason,Trading Halts Details,Trading Halts Notice,Trading Halts Notice URL
JPX-Nikkei 400 Bear -1x Inverse ETF,1468,"Apr. 10, 2023",12:00,12:25,12:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF EURO STOXX 50 UCITS ETF-JDR,1385,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI Europe UCITS ETF-JDR,1386,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI EMU UCITS ETF-JDR,1387,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI EMU Small Cap UCITS ETF-JDR,1388,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF FTSE 100 UCITS ETF-JDR,1389,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI Pacific (ex Japan) UCITS ETF-JDR,1390,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI Switzerland 20/35 UCITS ETF-JDR,1391,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI United Kingdom UCITS ETF-JDR,1392,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI USA UCITS ETF-JDR,1393,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
UBS ETF MSCI World UCITS ETF-JDR,1394,"Apr. 03, 2023",16:00,16:25,16:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
